word,root
يَظُنُّونَ,يظنون,يظنون
أَنَّهُم,انهم,انهم
مُّلَٰقُوا۟,ملاقوا,ملاقوا
رَبِّهِمْ,ربهم,ربهم
وَأَنَّهُمْ,وانهم,وانهم
رَٰجِعُونَ,راجعون,راجعون
وَأَنِّى,وانى,وانى
فَضَّلْتُكُمْ,فضلتكم,فضلتكم
وَٱتَّقُوا۟,واتقوا,واتقوا
يَوْمًا,يوما,يوما
تَجْزِى,تجزى,تجزى
نَفْسٌ,نفس,نفس
عَن,عن,عن
نَّفْسٍ,نفس,نفس
شَيْـًٔا,شيـا,شيـا
يُقْبَلُ,يقبل,يقبل
شَفَٰعَةٌ,شفاعة,شفاعة
يُؤْخَذُ,يوخذ,يوخذ
عَدْلٌ,عدل,عدل
يُنصَرُونَ,ينصرون,ينصرون
نَجَّيْنَٰكُم,نجيناكم,نجيناكم
مِّنْ,من,من
ءَالِ,ءال,ءال
فِرْعَوْنَ,فرعون,فرعون
يَسُومُونَكُمْ,يسومونكم,يسومونكم
سُوٓءَ,سوء,سوء
ٱلْعَذَابِ,العذاب,العذاب
يُذَبِّحُونَ,يذبحون,يذبحون
أَبْنَآءَكُمْ,ابناءكم,ابناءكم
وَيَسْتَحْيُونَ,ويستحيون,ويستحيون
نِسَآءَكُمْ,نساءكم,نساءكم
وَفِى,وفى,وفى
ذَٰلِكُم,ذالكم,ذالكم
بَلَآءٌ,بلاء,بلاء
رَّبِّكُمْ,ربكم,ربكم
فَرَقْنَا,فرقنا,فرقنا
بِكُمُ,بكم,بكم
ٱلْبَحْرَ,البحر,البحر
فَأَنجَيْنَٰكُمْ,فانجيناكم,فانجيناكم
وَأَغْرَقْنَآ,واغرقنا,واغرقنا
ءَالَ,ءال,ءال
تَنظُرُونَ,تنظرون,تنظرون
وَٰعَدْنَا,واعدنا,واعدنا
مُوسَىٰٓ,موسىا,موسىا
أَرْبَعِينَ,اربعين,اربعين
لَيْلَةً,ليلة,ليلة
ٱتَّخَذْتُمُ,اتخذتم,اتخذتم
ٱلْعِجْلَ,العجل,العجل
بَعْدِهِۦ,بعده,بعده
