word,root
وَٰعَدْنَا,ٰعد,واعدنا
مُوسَىٰٓ,موسىٰٓ,موسىا
أَرْبَعِينَ,ربع,اربعين
لَيْلَةً,ليل,ليلة
ٱتَّخَذْتُمُ,ٱتخذ,اتخذتم
ٱلْعِجْلَ,ٱلعجل,العجل
بَعْدِهِۦ,عدهۦ,بعده
ظَٰلِمُونَ,ظٰلم,ظالمون
عَفَوْنَا,عفو,عفونا
عَنكُم,عنكم,عنكم
مِّنۢ,منۢ,من
تَشْكُرُونَ,شكر,تشكرون
ءَاتَيْنَا,ءتي,ءاتينا
مُوسَى,وسى,موسى
وَٱلْفُرْقَانَ,ٱلفرق,والفرقان
تَهْتَدُونَ,هتد,تهتدون
مُوسَىٰ,وسىٰ,موسىا
لِقَوْمِهِۦ,قومهۦ,لقومه
يَٰقَوْمِ,ٰقم,ياقوم
إِنَّكُمْ,نكم,انكم
ظَلَمْتُمْ,ظلم,ظلمتم
أَنفُسَكُم,نفس,انفسكم
بِٱتِّخَاذِكُمُ,ٱتخاذ,باتخاذكم
فَتُوبُوٓا۟,فتوبوٓا۟,فتوبوا
بَارِئِكُمْ,برئ,باريكم
فَٱقْتُلُوٓا۟,فٱقتلوٓا۟,فاقتلوا
ذَٰلِكُمْ,ذٰل,ذالكم
خَيْرٌ,خير,خير
عِندَ,عند,عند
قُلْتُمْ,قلتم,قلتم
يَٰمُوسَىٰ,ٰموسىٰ,ياموسىا
لَن,لن,لن
نُّؤْمِنَ,نؤم,نومن
حَتَّىٰ,حتىٰ,حتىا
نَرَى,نرى,نرى
جَهْرَةً,جهر,جهرة
فَأَخَذَتْكُمُ,أخذ,فاخذتكم
ٱلصَّٰعِقَةُ,ٱلصٰعق,الصاعقة
بَعَثْنَٰكُم,عثنٰ,بعثناكم
مَوْتِكُمْ,موت,موتكم
وَظَلَّلْنَا,ظلل,وظللنا
عَلَيْكُمُ,علي,عليكم
ٱلْغَمَامَ,ٱلغمام,الغمام
وَأَنزَلْنَا,أنزل,وانزلنا
ٱلْمَنَّ,ٱلم,المن
وَٱلسَّلْوَىٰ,وٱلسلوىٰ,والسلوىا
كُلُوا۟,كلوا۟,كلوا
طَيِّبَٰتِ,طيبٰ,طيبات
رَزَقْنَٰكُمْ,رزقنٰ,رزقناكم
